,id,image_url,rating,votes,number_in_season,number_in_series,original_air_date,original_air_year,production_code,season,title,viewers_in_millions,video_url,score,rank
69,83,http://static-media.fxx.com/img/FX_Networks_-_FXX/699/231/Simpsons_05_02__845470.jpg,9,2010,2,83,1993-10-07,1993,9F22,5,Cape Feare,20,http://www.simpsonsworld.com/video/305674819788,180.0,3
70,109,http://static-media.fxx.com/img/FX_Networks_-_FXX/23/835/Simpsons_06_05.jpg,9,1690,6,109,1994-10-30,1994,2F03,6,Treehouse of Horror V,22.2,http://www.simpsonsworld.com/video/299597891663,199.79999999999998,1
71,115,http://static-media.fxx.com/img/FX_Networks_-_FXX/828/763/Simpsons_06_11__977485.jpg,8.9,1457,12,115,1995-01-08,1995,2F09,6,Homer the Great,20.1,http://www.simpsonsworld.com/video/275745859881,178.89000000000001,2
72,117,http://static-media.fxx.com/img/FX_Networks_-_FXX/829/739/Simpsons_06_13.jpg,8.6,1221,14,117,1995-02-05,1995,2F11,6,Bart's Comet,18.7,http://www.simpsonsworld.com/video/275746883888,160.82,3
73,134,http://static-media.fxx.com/img/FX_Networks_-_FXX/89/491/Simpsons_07_06.jpg,8.5,1304,6,134,1995-10-29,1995,3F04,7,Treehouse of Horror VI,19.7,http://www.simpsonsworld.com/video/310404163601,167.45,1
74,135,http://static-media.fxx.com/img/FX_Networks_-_FXX/555/447/Simpsons_07_07.jpg,9,1633,7,135,1995-11-05,1995,3F05,7,King-Size Homer,17,http://www.simpsonsworld.com/video/294786627843,153.0,2
75,141,http://static-media.fxx.com/img/FX_Networks_-_FXX/995/179/Simpsons_07_11.jpg,8.7,1264,13,141,1996-01-14,1996,3F09,7,Two Bad Neighbors,16.5,http://www.simpsonsworld.com/video/276994115834,143.54999999999998,3
76,163,http://static-media.fxx.com/img/FX_Networks_-_FXX/306/391/Simpsons_08_03__677111.jpg,9,1793,10,163,1997-01-12,1997,3G01,8,The Springfield Files,20.9,http://www.simpsonsworld.com/video/436259395954,188.1,1
77,154,http://static-media.fxx.com/img/FX_Networks_-_FXX/49/711/Simpsons_08_06__754432.jpg,8.3,1186,1,154,1996-10-27,1996,4F02,8,Treehouse of Horror VII,18.3,http://www.simpsonsworld.com/video/299625027835,151.89000000000001,2
78,166,http://static-media.fxx.com/img/FX_Networks_-_FXX/318/103/Simpsons_08_04.jpg,7.7,1088,13,166,1997-02-07,1997,3G03,8,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,17.7,http://www.simpsonsworld.com/video/436271683676,136.29,3
79,180,http://static-media.fxx.com/img/FX_Networks_-_FXX/540/775/Simpsons_09_04.jpg,7.4,1158,2,180,1997-09-28,1997,4F23,9,The Principal and the Pauper,14.9,http://www.simpsonsworld.com/video/436505155662,110.26,1
80,181,http://static-media.fxx.com/img/FX_Networks_-_FXX/545/251/Simpsons_09_01.jpg,8.1,980,3,181,1997-10-19,1997,3G02,9,Lisa's Sax,12.9,http://www.simpsonsworld.com/video/279743555749,104.49,2
81,179,http://static-media.fxx.com/img/FX_Networks_-_FXX/551/1011/Simpsons_09_03.jpg,9.1,1918,1,179,1997-09-21,1997,4F22,9,The City of New York vs. Homer Simpson,10.5,http://www.simpsonsworld.com/video/436516931611,95.55,3
